Date,Open,High,Low,Close,Adj Close,Volume
2018-04-20,133.679993,133.679993,130.880005,131.550003,131.550003,42400
2018-04-23,132.380005,133.440002,130.330002,131.520004,131.520004,29700
2018-04-24,132.139999,132.820007,128.729996,130.339996,130.339996,87800
2018-04-25,130.660004,132.300003,129.000000,131.580002,131.580002,53500
2018-04-26,132.020004,134.070007,130.020004,132.289993,132.289993,39600
2018-04-27,125.000000,129.809998,123.620003,126.690002,126.690002,138000
2018-04-30,126.769997,130.449997,125.839996,127.459999,127.459999,126300
2018-05-01,127.279999,131.240005,126.199997,130.820007,130.820007,134200
2018-05-02,130.839996,134.089996,128.580002,130.309998,130.309998,92100
2018-05-03,130.070007,132.800003,126.959999,129.119995,129.119995,73300
2018-05-04,128.699997,130.940002,128.699997,130.199997,130.199997,70600
2018-05-07,130.410004,131.679993,129.369995,129.929993,129.929993,46600
2018-05-08,130.000000,131.460007,128.619995,131.039993,131.039993,83500
2018-05-09,131.229996,131.490005,129.419998,130.600006,130.600006,30800
2018-05-10,131.110001,132.350006,129.440002,130.179993,130.179993,76600
2018-05-11,130.460007,130.729996,128.750000,129.279999,129.279999,51800
2018-05-14,129.580002,129.580002,126.610001,127.129997,127.129997,68500
2018-05-15,126.489998,129.029999,126.489998,127.459999,127.459999,117700
2018-05-16,127.279999,129.669998,127.279999,128.809998,128.809998,75400
2018-05-17,128.580002,129.759995,128.270004,129.479996,129.479996,80000
2018-05-18,129.889999,131.500000,129.750000,130.800003,130.800003,94200
2018-05-21,130.880005,131.919998,129.009995,130.179993,130.179993,87800
2018-05-22,130.539993,131.320007,128.449997,129.750000,129.750000,72500
2018-05-23,129.259995,130.589996,128.740005,130.100006,130.100006,55200
2018-05-24,130.130005,131.130005,128.720001,130.949997,130.949997,85200
2018-05-25,131.039993,132.050003,129.839996,130.720001,130.720001,50200
2018-05-29,130.320007,131.360001,129.000000,129.270004,129.270004,64800
2018-05-30,129.809998,133.860001,129.809998,132.240005,132.240005,67600
2018-05-31,132.240005,135.289993,129.119995,129.570007,129.570007,76200
2018-06-01,130.050003,131.199997,128.979996,130.419998,130.419998,70300
2018-06-04,131.080002,131.539993,129.279999,131.119995,131.119995,59500
2018-06-05,131.460007,132.860001,130.820007,131.309998,131.309998,49400
2018-06-06,131.860001,133.669998,131.210007,131.779999,131.779999,54800
2018-06-07,131.410004,131.809998,129.250000,129.899994,129.899994,54900
2018-06-08,129.869995,131.750000,129.759995,129.960007,129.960007,35000
2018-06-11,130.149994,131.410004,129.070007,131.089996,131.089996,40700
2018-06-12,131.369995,132.720001,130.039993,132.520004,132.520004,35000
2018-06-13,132.509995,133.839996,131.259995,132.720001,132.720001,73300
